t	X1	X2
1872	0.765410838	1.013514704
1873	0.733444804	0.994367684
1874	0.719974574	0.998188843
1875	0.759201904	1.015520384
1876	0.707847327	1.008772382
1877	0.763697312	1.024690726
1878	0.798028524	0.991733002
1879	0.751867192	0.955989563
1880	0.718045171	0.947447205
1881	0.727553408	1.010472874
1882	0.699819414	0.973431313
1883	0.780997097	0.996742925
1884	0.748364938	1.011666666
1885	0.724361786	1.017850976
1886	0.768117854	0.92115463
1887	0.80221686	0.971264548
1888	0.722987251	1.005484633
1889	0.725959372	0.913998719
1890	0.814313159	0.990214195
1891	0.738036845	0.972751596
1892	0.800318562	0.880372946
1893	0.670737386	1.003698991
1894	0.747772083	0.925838169
1895	0.692949453	1.022673287
1896	0.836961249	0.974927626
1897	0.763719442	0.971415045
1898	0.662319541	0.962758342
1899	0.720008143	0.943745752
1900	0.810405588	0.932917856
1901	0.696048904	0.933731502
1902	0.744288945	0.892322346
1903	0.794122351	0.970916194
1904	0.823500018	0.834144697
1905	0.75235359	0.993933761
1906	0.797780224	0.943347334
1907	0.818229333	0.910370787
1908	0.798504758	0.891894469
1909	0.740576341	0.912742586
1910	0.805713286	0.820646872
1911	0.75064126	0.935342935
1912	0.868081144	0.941385699
1913	0.720125501	0.967753799
1914	0.736339264	0.924849256
1915	0.762774604	0.930094461
1916	0.794271664	0.890561526
1917	0.873181525	0.950871157
1918	0.817687278	0.924640934
1919	0.813629356	0.830011634
1920	0.893880614	0.935243527
1921	0.828793567	0.79547015
1922	0.786464134	0.7858768
1923	0.803179806	0.962873439
1924	0.798110186	0.882129902
1925	0.732767044	0.847464567
1926	0.805298957	0.896887656
1927	0.796652869	0.888625587
1928	0.75610982	0.872347605
1929	0.78915302	0.930467005
1930	0.823923142	0.799664424
1931	0.797304712	0.793921585
1932	0.771330369	0.848688507
1933	0.800444396	0.957029007
1934	0.680198261	0.842302372
1935	0.86173754	0.810220039
1936	0.761709149	0.90027481
1937	0.835904329	0.87792929
1938	0.784369278	0.914287027
1939	0.884611537	0.861517602
1940	0.804118359	0.901991024
1941	0.873159437	0.927209668
1942	0.868542315	0.958283852
1943	0.834620216	0.982467355
1944	0.802318522	0.953135182
1945	0.860818786	0.911351776
1946	0.79566845	0.983591722
1947	0.788993258	0.855105219
1948	0.750498493	0.858123506
1949	0.766375089	1.019353002
1950	0.920245063	1.047742318
1951	0.864396384	0.871408511
1952	0.800394426	0.931531383
1953	0.849358369	0.943550631
1954	0.79117026	0.923392919
1955	0.875659201	0.873624188
1956	0.830909428	0.833510432
1957	0.79711607	0.939428138
1958	0.887556778	0.921912825
1959	0.925234163	0.934995539
1960	0.830137792	0.816101241
1961	0.823279866	0.998739457
1962	0.842370437	0.893393334
1963	0.853679541	0.918795171
1964	0.839759434	0.89302064
1965	0.800347687	0.883905646
1966	0.889972449	0.874623359
1967	0.814387425	0.918288396
1968	0.83209811	0.876989597
1969	0.786021474	0.948743862
1970	0.811457722	0.954248506
1971	0.843159742	0.882585757
1972	0.764364402	0.891835351
1973	0.774604541	0.956085265
1974	0.789138015	0.907282069
1975	0.781126036	0.981278492
1976	0.898900512	0.834177008
1977	0.819557232	0.966093135
1978	0.844974428	0.956764177
1979	0.761627217	1.010182487
1980	0.77825805	0.873279559
1981	0.764581433	0.932887927
1982	0.757745912	0.925091438
1983	0.829768932	0.898161796
1984	0.850232031	0.88581405
1985	0.818917316	0.882108464
1986	0.847913805	0.936909665
1987	0.903230023	0.893405166
1988	0.798362047	0.936017093
1989	0.81043774	0.843111009
1990	0.864871669	0.958606819
1991	0.814528376	0.9474184
1992	0.798723202	0.982584474
1993	0.818045332	0.960940885
1994	0.842442259	1.079611064
1995	0.826894554	0.917081454
1996	0.781938926	0.861308592
1997	0.755091554	0.94994121
1998	0.757888494	0.954549345
1999	0.848718037	0.87587186
2000	0.778745286	0.958023551
2001	0.81159172	0.964965506
2002	0.896922429	0.978786438
2003	0.804184853	0.995121964
2004	0.737947676	0.907643369
2005	0.804378881	1.023960139
2006	0.816401929	0.949171186
2007	0.794951518	0.9978866
2008	0.805835833	0.987903237
2009	0.77187824	1.0258097
2010	0.824972717	1.057769065
2011	0.789038	0.850125738
2012	0.821593504	0.998773785
2013	0.767458225	0.960440235
2014	0.739330616	0.995790994
2015	0.821885247	1.034897488
2016	0.782899923	0.922142083
2017	0.820596759	0.992568755
2018	0.809358759	1.023239073
2019	0.803010652	1.028015781
2020	0.734994509	1.072542857
2021	0.707799343	1.076396365
2022	0.765008224	1.020140104
2023	0.815469982	1.010278151
2024	0.749456451	1.025267882
2025	0.793705825	0.952865001
2026	0.761981386	0.944144486
2027	0.741922458	1.096409729
2028	0.805844358	1.077280851
2029	0.811264113	0.964491687
2030	0.81805274	1.029568137
2031	0.715328052	1.026526608
2032	0.758529866	0.95567562
2033	0.742188468	1.034650271
2034	0.701696699	1.044378331
2035	0.729708221	1.001768491
2036	0.861400469	1.037834882
2037	0.794740412	0.996033826
2038	0.727755421	1.01842492
2039	0.714337739	1.00981053
2040	0.717327808	1.063916739
2041	0.62639439	0.987747582
2042	0.693640778	0.966109946
2043	0.879173957	0.925680928
2044	0.79261787	1.08677992
2045	0.744882942	0.937573695
2046	0.704534725	0.996121704
2047	0.817924269	0.907312208
2048	0.711883504	1.024472045
2049	0.766538907	1.032253135
2050	0.826512041	1.003324257
2051	0.834704075	1.018413157
2052	0.835752142	0.922522582
2053	0.712988774	0.891414483
2054	0.671668244	0.915936372
2055	0.74603177	1.029505601
2056	0.693727639	0.898621473
2057	0.7186751	1.005476184
2058	0.786605299	0.881445416
2059	0.697234893	0.813985274
2060	0.81124464	1.0582244
2061	0.751552547	0.951015084
2062	0.767903498	0.956821883
2063	0.718537344	0.944568641
2064	0.737920898	0.913259433
2065	0.803284519	0.953159847
2066	0.790402839	0.975335201
2067	0.729643358	0.861862256
2068	0.809002212	1.008947989
2069	0.676276554	1.013369783
2070	0.71272165	0.954206091
2071	0.823579013	0.968827075
2072	0.781399004	0.88842063
2073	0.838905917	0.994006499
2074	0.841740313	0.815993928
2075	0.747365387	0.985937518
2076	0.761081148	0.922013376
2077	0.851500935	0.953867969
2078	0.761141854	0.902297138
2079	0.684596264	0.974238357
2080	0.752037018	0.979404665
2081	0.757732304	0.954740118
2082	0.820238746	0.958788845
2083	0.797879185	0.990634336
2084	0.782073462	0.982594458
2085	0.803763307	0.978244286
2086	0.837795865	0.997834127
2087	0.737693252	0.977854154
2088	0.791444375	0.95695727
2089	0.784673601	1.000167937
2090	0.783363222	0.933331666
2091	0.779317146	0.887835258
2092	0.774156732	0.922899419
2093	0.759339826	0.938927985
2094	0.746787361	1.070140096
2095	0.759115611	0.922106565
2096	0.78205664	0.939556541
2097	0.813526009	0.854931452
2098	0.833913394	0.977330639
2099	0.932212924	0.911475982
2100	0.783672939	0.909826309
2101	0.783690313	0.972140184
2102	0.858916575	0.915174647
2103	0.754909684	0.968292821
2104	0.828590219	1.012873227
2105	0.855727266	0.938817654
2106	0.828519557	0.965897349
2107	0.781035229	0.989373946
2108	0.73641906	1.003908547
2109	0.77079557	0.944511063
2110	0.779187238	0.964295792
2111	0.745013134	0.959869655
2112	0.789259744	1.074434444
2113	0.851237279	1.005563471
2114	0.810248779	0.887634194
2115	0.788104913	0.996962587
2116	0.744348966	1.039596821
2117	0.851969575	0.958968245
2118	0.88403466	0.932475341
2119	0.752976881	0.967882232
2120	0.739669033	0.891076041
2121	0.749800991	1.079139863
2122	0.820345298	1.01571056
2123	0.756807069	1.002842756
2124	0.719550124	1.06171712
2125	0.774259624	1.036840783
2126	0.81327585	1.036436364
2127	0.744286291	0.988264534
2128	0.876532354	1.011195874
2129	0.783350267	1.006551412
2130	0.721212418	1.015771364
2131	0.81652422	1.040409979
2132	0.891316297	0.956772342
2133	0.846174819	0.993754927
2134	0.729126726	0.917102655
2135	0.810682725	0.9524223
2136	0.779855165	1.066489968
2137	0.796348896	1.071209841
2138	0.785136428	1.024462441
2139	0.778634244	1.033179391
2140	0.76435615	1.030994241
2141	0.780201674	1.026225245
2142	0.788324364	1.0282465
2143	0.792121513	0.93125988
2144	0.737128433	1.09296418
2145	0.684886769	0.961998784
2146	0.685143259	1.04597076
2147	0.740785604	1.022000731
2148	0.772822521	0.992489637
2149	0.721764565	0.960757315
2150	0.721954297	0.996038672
2151	0.728713487	0.979789599
2152	0.715704204	1.078850186
2153	0.75803297	0.983427208
2154	0.81740786	0.963163937
2155	0.668607679	0.995763953
2156	0.779907462	0.924409709
2157	0.674441063	1.020517676
2158	0.76659427	1.062397074
2159	0.721783044	0.989128695
2160	0.804999771	1.00615242
2161	0.688461574	1.032794136
2162	0.709339608	1.038564096
2163	0.733540042	1.009600516
2164	0.883244496	0.965392918
2165	0.800961829	1.02626666
2166	0.755566981	0.994250163
2167	0.785175529	1.061074146
2168	0.705996258	1.052266676
2169	0.805785873	1.073384116
2170	0.731665553	1.117914009
2171	0.711846702	1.125369846
2172	0.708498865	1.095782337
2173	0.790027847	1.059874211
2174	0.756031071	1.112367678
2175	0.679436511	1.119902021
2176	0.685681411	1.068128975
2177	0.871894289	1.080152836
2178	0.756723425	1.03876368
2179	0.740719942	1.019349303
2180	0.734723585	1.081902764
2181	0.80248135	0.981232139
2182	0.794268172	1.086004549
2183	0.758278614	1.077223479
2184	0.746738668	1.099827694
2185	0.759347847	1.196864338
2186	0.724794622	1.11041356
2187	0.760736269	1.011738787
2188	0.840628619	1.053814983
2189	0.846532691	0.983297663
2190	0.854633919	1.040573451
2191	0.800402076	1.072356871
2192	0.762432981	1.099313415
2193	0.82119974	1.112701878
2194	0.702745957	1.078226225
2195	0.69398235	1.17394832
2196	0.694607828	1.048665411
2197	0.838192883	1.009313423
2198	0.728633241	1.077208518
2199	0.752150594	1.078167661
2200	0.704476008	1.07509742
2201	0.687618834	1.004711178
2202	0.726567063	1.017949679
2203	0.701107496	1.028676461
2204	0.692822738	0.946237235
2205	0.819532222	1.02360211
2206	0.751101927	0.998958307
2207	0.654155531	1.036597292
2208	0.660260611	1.001896151
2209	0.72578703	0.989929255
2210	0.747730575	1.077706138
2211	0.751318831	1.020898704
2212	0.741231178	1.070245073
2213	0.789505947	1.099606674
2214	0.78704862	1.036715806
2215	0.806504689	1.082795717
2216	0.756948347	1.111481637
2217	0.815219687	1.038893321
2218	0.771953845	1.111902471
2219	0.698107588	1.052569006
2220	0.737535473	1.041231286
2221	0.809284822	1.013031456
2222	0.751391398	1.112707392
2223	0.693765354	1.057981549
2224	0.704137381	0.997165752
2225	0.598032548	1.091352641
2226	0.742964449	1.051577317
2227	0.6389652	1.073567216
2228	0.765336815	1.055329331
2229	0.750760196	1.064848271
2230	0.771320149	1.093933486
2231	0.731029156	1.094342651
2232	0.707943984	1.097014655
2233	0.713022789	1.06329823
2234	0.721734728	1.036989655
2235	0.701040038	1.053815928
2236	0.656279959	0.970576485
2237	0.72622756	1.063324231
2238	0.752176673	1.030910021
2239	0.779153727	1.096487341
2240	0.657033138	1.117516422
2241	0.726722426	1.012149628
2242	0.739744295	1.048479097
2243	0.772274679	1.038407262
2244	0.727539109	1.067706106
2245	0.650147806	1.020312906
2246	0.801292655	0.986145341
2247	0.758118108	1.038461988
2248	0.767756262	0.95133485
2249	0.737487633	1.000208699
2250	0.733374988	1.045062898
2251	0.757855294	0.981830514
2252	0.778994545	1.101749087
2253	0.672023715	1.012245851
2254	0.714492893	1.043867548
2255	0.684593994	1.003570857
2256	0.755537882	1.041378927
2257	0.782051236	1.038559087
2258	0.761378314	1.024009486
2259	0.718192775	1.036002646
2260	0.835290986	1.030114281
2261	0.728527771	0.951176573
2262	0.724081223	0.968365111
2263	0.730739682	1.05388072
2264	0.792786006	1.007188123
2265	0.73415274	0.892912826
2266	0.823312211	0.988781692
2267	0.717325076	0.968402841
2268	0.895930963	1.014707261
2269	0.786888895	1.004601579
